Brochure_Name_En,Geo_Unit_En,Period_Id,Datum
"Reported cases of malaria, total",Panama,1998,1039
"Reported cases of malaria, total",Panama,1999,936
"Reported cases of malaria, total",Panama,2000,1036
"Reported cases of malaria, total",Panama,2001,928
"Reported cases of malaria, total",Panama,2002,2244
"Reported cases of malaria, total",Panama,2003,4500
"Reported cases of malaria, total",Panama,2004,5095
"Reported cases of malaria, total",Panama,2005,3667
"Reported cases of malaria, total",Panama,2006,1663
"Reported cases of malaria, total",Panama,2007,1281
"Reported cases of malaria, total",Panama,2008,744
"Reported cases of malaria, total",Panama,2009,778
"Reported cases of malaria, total",Panama,2010,418
"Reported cases of malaria, total",Panama,2011,354
"Reported cases of malaria, total",Panama,2012,844
"Reported cases of malaria, total",Panama,2013,705
"Reported cases of malaria, total",Panama,2014,874
"Reported cases of malaria, total",Panama,2015,562
"Reported cases of malaria, total",Panama,2016,811
"Reported cases of malaria, total",El Salvador,1990,9269
"Reported cases of malaria, total",El Salvador,1991,5951
"Reported cases of malaria, total",El Salvador,1992,4539
"Reported cases of malaria, total",El Salvador,1993,3887
"Reported cases of malaria, total",El Salvador,1994,2803
"Reported cases of malaria, total",El Salvador,1995,3364
"Reported cases of malaria, total",El Salvador,1996,5888
"Reported cases of malaria, total",El Salvador,1997,2719
"Reported cases of malaria, total",El Salvador,1998,1182
"Reported cases of malaria, total",El Salvador,1999,1230
"Reported cases of malaria, total",El Salvador,2000,753
"Reported cases of malaria, total",El Salvador,2001,362
"Reported cases of malaria, total",El Salvador,2002,117
"Reported cases of malaria, total",El Salvador,2003,85
"Reported cases of malaria, total",El Salvador,2004,112
"Reported cases of malaria, total",El Salvador,2005,67
"Reported cases of malaria, total",El Salvador,2006,49
"Reported cases of malaria, total",El Salvador,2007,40
"Reported cases of malaria, total",El Salvador,2008,33
"Reported cases of malaria, total",El Salvador,2009,20
"Reported cases of malaria, total",El Salvador,2010,24
"Reported cases of malaria, total",El Salvador,2011,15
"Reported cases of malaria, total",El Salvador,2012,21
"Reported cases of malaria, total",El Salvador,2013,7
"Reported cases of malaria, total",El Salvador,2014,8
"Reported cases of malaria, total",El Salvador,2015,9
"Reported cases of malaria, total",El Salvador,2016,14
"Reported cases of malaria, total",Cuba,2000,53
"Reported cases of malaria, total",Cuba,2001,0
"Reported cases of malaria, total",Cuba,2002,29
"Reported cases of malaria, total",Cuba,2003,30
"Reported cases of malaria, total",Cuba,2004,26
"Reported cases of malaria, total",Cuba,2005,9
"Reported cases of malaria, total",Cuba,2006,33
"Reported cases of malaria, total",Cuba,2007,19
"Reported cases of malaria, total",Cuba,2009,7
"Reported cases of malaria, total",Cuba,2011,28
"Reported cases of malaria, total",Cuba,2012,32
"Reported cases of malaria, total",Cuba,2013,48
"Reported cases of malaria, total",Cuba,2014,37
"Reported cases of malaria, total",Cuba,2016,71
"Reported cases of malaria, total",Cuba,2017,36
"Reported cases of malaria, total",Dominican Republic,1990,356
"Reported cases of malaria, total",Dominican Republic,1991,377
"Reported cases of malaria, total",Dominican Republic,1992,698
"Reported cases of malaria, total",Dominican Republic,1993,987
"Reported cases of malaria, total",Dominican Republic,1994,1670
"Reported cases of malaria, total",Dominican Republic,1995,1808
"Reported cases of malaria, total",Dominican Republic,1996,1414
"Reported cases of malaria, total",Dominican Republic,1997,816
"Reported cases of malaria, total",Dominican Republic,1998,2006
"Reported cases of malaria, total",Dominican Republic,1999,3589
"Reported cases of malaria, total",Dominican Republic,2000,1233
"Reported cases of malaria, total",Dominican Republic,2001,1038
"Reported cases of malaria, total",Dominican Republic,2002,1296
"Reported cases of malaria, total",Dominican Republic,2003,1529
"Reported cases of malaria, total",Dominican Republic,2004,2355
"Reported cases of malaria, total",Dominican Republic,2005,3837
"Reported cases of malaria, total",Dominican Republic,2006,3525
"Reported cases of malaria, total",Dominican Republic,2007,2711
"Reported cases of malaria, total",Dominican Republic,2008,1840
"Reported cases of malaria, total",Dominican Republic,2009,1643
"Reported cases of malaria, total",Dominican Republic,2010,2482
"Reported cases of malaria, total",Dominican Republic,2011,1616
"Reported cases of malaria, total",Dominican Republic,2012,952
"Reported cases of malaria, total",Dominican Republic,2013,579
"Reported cases of malaria, total",Dominican Republic,2014,496
"Reported cases of malaria, total",Dominican Republic,2015,661
"Reported cases of malaria, total",Dominican Republic,2016,755
"Reported cases of malaria, total",Dominican Republic,2017,341
"Reported cases of malaria, total",Guadeloupe,1996,8
"Reported cases of malaria, total",Guadeloupe,1997,9
"Reported cases of malaria, total",Guadeloupe,1998,5
"Reported cases of malaria, total",Guadeloupe,1999,8
